Date,Lat,Long,Mag
2/20/2004,-11.608,166.45,6
2/21/2004,-58.425,-14.963,6.6
2/22/2004,-1.559,100.488,6
2/22/2004,18.505,145.387,5.7
2/23/2004,-14.74,-175.63,6.3
2/24/2004,35.142,-3.997,6.4
2/25/2004,54.615,162.814,5.5
2/25/2004,-20.667,-175.033,5.8
2/25/2004,13.991,-92.145,5.9
2/26/2004,-27.781,-176.54,5.6
2/26/2004,8.288,123.515,5.5
2/26/2004,-18.171,66.419,6.3
2/26/2004,-53.159,159.651,6
2/27/2004,-34.121,-112.516,5.7
3/1/2004,37.136,22.116,5.6
3/2/2004,11.61,-86.767,6.2
3/4/2004,-32.405,-178.59,5.5
3/5/2004,-3.414,145.35,5.6
3/5/2004,-20.615,-178.837,5.6
3/6/2004,-5.112,152.588,5.5
3/6/2004,12.959,93.135,5.5
3/7/2004,-32.544,-178.597,5.6
3/7/2004,-32.381,-178.191,6
3/7/2004,31.639,91.236,5.6
3/7/2004,-32.527,-178.296,5.8
3/8/2004,-20.856,-179.008,5.6
3/8/2004,10.48,-43.919,6
3/9/2004,-2.131,125.106,5.6
3/9/2004,-65.198,179.71,5.9
3/9/2004,-32.559,-177.97,5.8
3/9/2004,-32.265,-178.358,6.2
3/10/2004,-32.343,-178.119,5.7
3/12/2004,-15.579,-175.096,6
3/12/2004,36.397,70.774,5.8
3/14/2004,-32.285,-178.369,5.6
3/14/2004,-17.267,-172.316,6.1
3/15/2004,2.07,126.695,5.5
3/17/2004,-21.118,-65.586,6.1
3/17/2004,34.589,23.326,6.1
3/17/2004,11.155,124.708,5.5
3/17/2004,-30.318,-178.082,5.5
3/17/2004,-32.01,-66.699,5.5
3/18/2004,-23.759,-176.002,6.2
3/19/2004,-34.5,55.28,5.7
3/20/2004,53.829,160.468,5.6
3/22/2004,-22.938,-64.359,5.8
3/23/2004,18.774,144.735,5.5
3/23/2004,18.788,144.764,5.7
3/24/2004,45.382,118.256,5.5
3/25/2004,-6.184,129.121,5.6
3/25/2004,39.93,40.812,5.6
3/26/2004,41.863,144.209,5.8
3/27/2004,-6.256,154.76,5.9
3/27/2004,33.954,89.179,6
3/28/2004,39.847,40.874,5.6
3/31/2004,-25.184,-67.545,5.5
3/1/2005,-24.964,-112.124,5.6
3/2/2005,-6.527,129.933,7.1
3/4/2005,2.67,126.407,5.9
3/5/2005,24.637,121.935,5.7
3/5/2005,24.722,121.918,5.7
3/6/2005,-11.062,163.207,5.9
3/6/2005,-11.045,163.045,6.1
3/6/2005,84.948,99.391,6.3
3/6/2005,-11.046,162.859,5.6
3/7/2005,11.371,-85.936,5.6
3/10/2005,85.247,92.895,5.5
3/11/2005,43.085,144.674,5.5
3/12/2005,39.44,40.978,5.6
3/13/2005,27.095,61.887,6
3/13/2005,5.486,94.595,5.5
3/14/2005,39.354,40.89,5.8
3/14/2005,-27.737,73.826,5.6
3/15/2005,11.239,-86.067,5.8
3/16/2005,-24.369,179.923,5.5
3/16/2005,-5.637,102.752,5.5
3/16/2005,-52.364,159.579,5.6
3/17/2005,15.144,-91.381,6.1
3/17/2005,4.863,95.089,5.7
3/19/2005,-20.407,-174.337,6.1
3/19/2005,-21.893,-179.547,6.3
3/20/2005,33.807,130.131,6.6
3/20/2005,-7.945,124.825,5.8
3/21/2005,-24.983,-63.47,6.9
3/21/2005,-24.725,-63.507,6.4
3/23/2005,-55.475,-1.54,5.8
3/23/2005,39.431,40.925,5.7
3/25/2005,5.489,94.374,5.8
3/26/2005,-4.894,129.938,6.1
3/28/2005,2.085,97.108,8.6
3/28/2005,1.114,97.005,5.8
3/28/2005,1.23,97.487,5.9
3/28/2005,2.087,96.503,5.5
3/28/2005,0.923,97.867,6.1
3/28/2005,1.014,97.821,5.8
3/28/2005,0.172,97.043,5.7
3/28/2005,2.889,96.411,5.6
3/29/2005,0.185,97.095,5.5
3/29/2005,2.648,96.581,5.9
3/29/2005,1.777,99.207,5.5
3/30/2005,1.773,97.095,5.7
3/30/2005,-10.246,161.315,5.7
3/30/2005,2.993,95.414,6.3
3/30/2005,2.931,95.423,5.6
3/30/2005,-22.459,-179.754,6.1
3/31/2005,-18.545,176.013,5.9
3/31/2005,-18.448,175.99,6
3/31/2005,1.701,97.119,5.8
2/23/2006,26.912,91.705,5.8
2/24/2006,-10.628,164.384,5.5
2/24/2006,-17.995,-179.59,6.1
2/26/2006,-23.607,-179.989,6.4
2/26/2006,-15.283,-176.239,6
2/28/2006,28.12,56.865,6
3/1/2006,13.459,120.515,5.8
3/2/2006,-18.018,-178.408,5.5
3/2/2006,19.358,-63.787,5.6
3/3/2006,-55.695,-4.232,6
3/4/2006,1.133,-27.879,5.6
3/4/2006,12.598,-89.356,5.7
3/5/2006,-20.118,-175.661,6.1
3/5/2006,64.911,-129.18,5.6
3/5/2006,-15.608,-174.548,5.6
3/6/2006,-40.103,78.486,6.2
3/7/2006,-14.805,167.368,6.2
3/7/2006,-40.134,78.555,5.8
3/7/2006,23.777,70.899,5.5
3/9/2006,-59.542,-29.66,5.9
3/9/2006,0.791,-26.125,6
3/10/2006,-60.419,-46.505,6.1
3/12/2006,-33.227,56.95,5.6
3/12/2006,-5.075,153.657,5.8
3/14/2006,-3.933,151.698,5.5
3/14/2006,-3.595,127.214,6.7
3/15/2006,-16.871,167.242,5.6
3/15/2006,-21.155,33.584,5.6
3/17/2006,-7.471,125.072,5.6
3/17/2006,-4.822,149.744,5.6
3/17/2006,-5.119,123.107,5.6
3/17/2006,-15.325,-175.732,5.6
3/19/2006,-58.051,-25.263,5.5
3/19/2006,-13.425,172.392,5.9
3/19/2006,-22.303,170.532,5.5
3/20/2006,-5.809,151.195,5.5
3/20/2006,-23.797,179.893,5.8
3/23/2006,-62.47,165.168,5.7
3/24/2006,-3.245,143.144,6.1
3/24/2006,-16.885,174.504,6
3/25/2006,27.574,55.685,5.9
3/25/2006,27.541,55.78,5.5
3/27/2006,7.075,-34.216,5.5
3/27/2006,32.602,132.157,5.5
3/27/2006,-17.748,-178.895,5.6
3/27/2006,12.078,121.401,5.6
3/28/2006,31.713,137.746,5.9
3/31/2006,33.5,48.78,6.1
3/31/2006,-29.435,-176.768,6.5
3/31/2006,-29.835,-176.746,5.5
3/31/2006,3.798,126.344,6.2
2/25/2007,26.146,-110.421,5.9
2/25/2007,-29.13,-177.133,5.7
2/26/2007,-15.966,167.523,5.5
2/26/2007,-44.77,35.495,5.7
2/28/2007,-55.245,-29.142,6.2
3/1/2007,26.581,-44.594,6
3/3/2007,0.007,126.806,5.9
3/3/2007,-55.252,-129.337,5.7
3/4/2007,33.79,-38.473,5.6
3/6/2007,-0.493,100.498,6.4
3/6/2007,-0.488,100.53,6.3
3/7/2007,1.955,97.908,5.9
3/7/2007,3.018,-31.819,5.5
3/8/2007,29.908,140.204,6.1
3/8/2007,-58.217,-7.615,6.2
3/9/2007,43.224,133.526,6
3/9/2007,-11.428,66.255,5.7
3/9/2007,-6.364,130.168,5.6
3/9/2007,13.261,-87.387,5.6
3/10/2007,-23.294,-69.71,5.5
3/10/2007,74.256,8.713,5.7
3/10/2007,55.209,161.859,5.8
3/11/2007,43.988,147.891,5.8
3/12/2007,-28.842,-177.006,5.6
3/12/2007,-41.203,85.533,5.5
3/12/2007,-21.049,169.834,5.8
3/12/2007,46.897,151.77,5.6
3/13/2007,26.261,-110.537,6
3/13/2007,4.174,126.755,5.5
3/13/2007,-8.128,117.863,5.6
3/14/2007,11.514,-86.59,5.5
3/17/2007,1.132,126.216,6.2
3/17/2007,4.551,-78.536,6
3/18/2007,42.159,144.004,5.5
3/18/2007,4.585,-78.494,6.2
3/19/2007,-60.695,154.09,5.7
3/20/2007,9.191,126.121,5.5
3/22/2007,-3.388,86.775,5.9
3/23/2007,-18.858,-178.371,5.8
3/24/2007,-53.814,140.789,5.8
3/24/2007,-19.722,-70.142,5.7
3/25/2007,-20.617,169.357,7.1
3/25/2007,37.336,136.588,6.7
3/25/2007,-20.754,169.354,6.9
3/25/2007,38.34,20.42,5.7
3/26/2007,22.036,142.975,5.5
3/26/2007,0.831,125.914,5.5
3/28/2007,-6.268,29.673,5.8
3/29/2007,-31.591,-71.837,5.6
3/29/2007,-31.604,-71.708,5.8
3/30/2007,44.138,146.01,5.5
3/30/2007,-14.624,177.766,5.7
3/31/2007,-56.083,-123.27,6.2
3/31/2007,1.274,122.631,5.6
3/31/2007,-20.514,169.169,5.7
2/23/2008,-2.511,99.962,5.6
2/23/2008,-57.335,-23.433,6.8
2/24/2008,-2.405,99.931,6.5
2/25/2008,-2.486,99.972,7.2
2/25/2008,-2.332,99.891,6.6
2/25/2008,-2.245,99.808,6.7
2/26/2008,-3.852,101.067,5.9
2/27/2008,-34.625,-178.966,5.5
2/27/2008,26.816,142.438,6.2
2/28/2008,12.68,141.766,5.6
2/29/2008,-35.074,-108.968,5.7
2/29/2008,3.931,93.477,5.6
3/1/2008,-20.256,-69.941,5.7
3/1/2008,-35.379,-179.299,5.6
3/2/2008,51.859,-179.313,5.8
3/3/2008,-2.18,99.823,6.2
3/3/2008,46.406,153.175,6.5
3/3/2008,19.913,121.334,6
3/3/2008,13.351,125.63,6.9
3/3/2008,-4.467,101.452,5.6
3/4/2008,52.239,-173.721,5.5
3/6/2008,2.572,128.232,5.9
3/6/2008,51.522,156.546,5.5
3/10/2008,-28.337,-69.294,5.6
3/11/2008,52.171,-169.481,5.6
3/12/2008,-16.567,167.335,6.4
3/12/2008,-16.489,167.183,6.3
3/13/2008,-45.492,35.008,6
3/13/2008,14.463,-93.462,5.7
3/14/2008,26.988,142.599,6
3/15/2008,2.708,94.596,6
3/15/2008,42.412,-126.835,5.7
3/17/2008,-54.324,-136.082,5.6
3/18/2008,-29.252,-177.44,6.2
3/20/2008,6.192,126.934,6.1
3/20/2008,35.49,81.467,7.2
3/20/2008,35.513,81.433,5.6
3/22/2008,52.176,-178.716,6.2
3/24/2008,-16.912,167.031,5.5
3/24/2008,-20.043,-68.963,6.2
3/26/2008,-56.712,-141.903,5.5
3/26/2008,46.428,152.979,5.6
3/26/2008,13.594,144.879,5.6
3/27/2008,17.199,-84.835,5.6
3/28/2008,34.758,25.345,5.6
3/28/2008,-32.882,179.362,5.7
3/28/2008,20.251,121.949,5.8
3/29/2008,13.283,125.684,5.7
3/29/2008,20.271,121.984,5.5
3/29/2008,-41.055,42.525,5.5
3/29/2008,2.855,95.296,6.3
3/30/2008,-26.01,-177.929,5.5
2/13/2009,3.754,126.683,5.6
2/15/2009,40.239,142.236,5.7
2/15/2009,-5.854,-80.891,6.1
2/16/2009,37.13,20.78,5.5
2/17/2009,-30.724,-178.617,6
2/18/2009,-52.966,20.909,5.9
2/18/2009,-61.706,154.752,5.6
2/18/2009,-27.424,-176.33,7
2/20/2009,-18.365,-178.749,5.6
2/20/2009,34.203,73.9,5.5
2/21/2009,28.875,130.864,5.5
2/21/2009,-0.397,132.67,5.5
2/22/2009,3.679,126.561,6
2/24/2009,13.787,146.303,5.9
2/24/2009,1.425,97.165,5.6
2/24/2009,-23.18,170.557,5.7
2/25/2009,-41.887,88.634,5.5
2/26/2009,19.017,121.265,5.5
2/26/2009,-7.467,127.772,5.5
2/28/2009,42.61,142.104,5.5
2/28/2009,-60.525,-24.796,6.3
3/1/2009,-21.762,-176.58,5.5
3/2/2009,-1.105,119.868,5.6
3/5/2009,-17.512,-179.056,5.9
3/5/2009,80.284,-1.832,5.5
3/6/2009,-15.156,-173.309,5.8
3/6/2009,80.324,-1.853,6.5
3/10/2009,-24.618,-176.362,5.5
3/10/2009,-1.878,139.119,5.5
3/11/2009,8.504,-83.219,5.9
3/11/2009,8.493,-83.206,5.9
3/12/2009,-60.861,-23.81,5.5
3/12/2009,5.686,-82.767,6.3
3/15/2009,2.429,-95.124,5.8
3/15/2009,-14.452,-70.365,5.7
3/15/2009,-15.416,-173.218,5.5
3/16/2009,-55.144,-129.7,5.9
3/16/2009,3.807,126.552,6.3
3/16/2009,3.597,126.7,5.7
3/18/2009,3.648,126.655,5.5
3/19/2009,-23.043,-174.66,7.6
3/20/2009,-21.48,-179.38,5.5
3/23/2009,9.796,57.819,5.5
3/24/2009,-5.141,151.823,5.8
3/25/2009,-23.665,-175.776,5.5
3/26/2009,-27.462,73.303,5.7
3/26/2009,-5.72,-81.338,5.8
3/26/2009,27.415,126.702,5.9
3/28/2009,-2.952,139.543,6
3/30/2009,56.546,-152.743,6
3/30/2009,51.535,-178.258,5.7
3/30/2009,51.526,-178.267,5.8
3/31/2009,18.313,145.716,5.5
3/4/2010,-33.216,-72.125,6
3/4/2010,-13.571,167.227,6.5
3/4/2010,-22.227,-68.328,6.3
3/5/2010,-36.631,-73.223,6.1
3/5/2010,-36.665,-73.374,6.6
3/5/2010,-3.762,100.991,6.8
3/6/2010,-13.141,166.687,5.5
3/6/2010,44.174,147.647,5.7
3/7/2010,-16.236,-115.296,6.3
3/7/2010,-37.99,-73.3,5.9
3/8/2010,38.864,39.986,6.1
3/8/2010,38.709,40.051,5.6
3/8/2010,19.348,144.743,6.1
3/8/2010,-25.712,-66.617,5.8
3/9/2010,51.489,-173.531,5.8
3/10/2010,-33.562,-72.298,5.6
3/11/2010,-57.285,-27.931,5.6
3/11/2010,-34.29,-71.891,6.9
3/11/2010,-34.326,-71.799,7
3/11/2010,-34.614,-71.99,5.6
3/11/2010,-34.47,-72.004,6
3/11/2010,-34.381,-71.979,5.6
3/12/2010,-34.233,-71.917,5.8
3/12/2010,23.062,94.623,5.5
3/13/2010,2.192,133.02,5.9
3/13/2010,-37.551,-73.465,5.8
3/13/2010,37.594,141.299,5.6
3/13/2010,1.323,97.171,5.8
3/14/2010,-1.692,128.135,6.4
3/14/2010,37.745,141.59,6.5
3/14/2010,-38.502,-73.653,5.5
3/14/2010,-38.526,-73.534,5.6
3/14/2010,-2.746,83.703,5.8
3/14/2010,-58.417,-23.567,5.6
3/15/2010,-35.802,-73.158,6.2
3/16/2010,-36.217,-73.257,6.7
3/16/2010,-36.405,-73.074,5.9
3/16/2010,52.139,142.204,5.8
3/18/2010,-48.733,164.672,5.6
3/18/2010,-23.318,-177.177,5.6
3/19/2010,-35.541,-73.475,5.5
3/20/2010,-3.361,152.245,6.6
3/20/2010,19.674,-75.331,5.6
3/21/2010,-36.344,-73.164,5.5
3/22/2010,18.451,120.742,5.9
3/24/2010,32.509,92.708,5.7
3/25/2010,13.827,120.071,6
3/26/2010,-6.326,130.284,5.7
3/26/2010,-27.953,-70.821,6.3
3/28/2010,-55.139,-128.373,5.7
3/28/2010,-35.387,-73.385,6
3/28/2010,-35.406,-72.897,5.6
3/30/2010,43.308,138.379,5.7
3/30/2010,13.667,92.831,6.6
3/14/2011,37.206,142.245,5.6
3/15/2011,37.367,142.301,5.8
3/15/2011,40.419,142.959,5.5
3/15/2011,37.576,142.237,6
3/15/2011,35.272,138.582,6
3/15/2011,40.335,143.288,6.1
3/15/2011,35.209,140.994,5.7
3/16/2011,35.747,140.71,5.7
3/16/2011,39.887,142.019,5.7
3/16/2011,-32.564,-71.726,5.5
3/17/2011,-17.275,167.826,6.2
3/17/2011,40.136,142.168,6.2
3/17/2011,37.709,143.443,5.6
3/17/2011,-17.266,167.899,5.8
3/17/2011,35.496,140.763,5.5
3/17/2011,36.757,141.202,5.8
3/17/2011,37.125,142.335,5.5
3/18/2011,37.759,143.488,5.5
3/18/2011,39.161,142.23,5.5
3/19/2011,39.696,142.904,5.9
3/19/2011,36.796,140.268,5.7
3/20/2011,37.724,141.363,5.6
3/20/2011,18.994,121.246,6
3/20/2011,39.35,141.824,5.8
3/20/2011,-31.129,-179.823,5.7
3/21/2011,36.491,70.927,5.8
3/21/2011,13.915,120.566,5.5
3/22/2011,35.205,140.997,5.7
3/22/2011,37.244,144.003,6.4
3/22/2011,37.325,141.791,6.1
3/22/2011,39.851,143.437,6.4
3/22/2011,39.733,143.113,5.6
3/22/2011,36.866,143.188,5.6
3/22/2011,36.289,141.404,5.7
3/22/2011,-33.096,-15.977,5.8
3/22/2011,35.795,141.549,5.9
3/22/2011,35.787,141.567,5.6
3/22/2011,37.065,140.638,5.5
3/22/2011,37.014,140.679,5.5
3/22/2011,37.111,140.58,5.5
3/24/2011,39.079,142.084,5.8
3/24/2011,20.687,99.822,6.9
3/24/2011,20.65,99.77,5.7
3/25/2011,38.772,141.88,6.2
3/26/2011,-15.848,-179.405,6
3/27/2011,14.374,-92.347,5.6
3/27/2011,38.415,142.011,6.2
3/29/2011,37.401,142.29,6.1
3/29/2011,39.591,143.455,5.5
3/30/2011,36.143,142.464,5.7
3/31/2011,-16.541,-177.517,6.3
3/31/2011,38.922,141.821,6
2/6/2012,9.999,123.206,6.7
2/6/2012,10.092,123.227,5.6
2/6/2012,9.885,123.095,6
2/6/2012,9.821,123.08,5.8
2/9/2012,-56.383,-25.816,5.5
2/9/2012,-58.312,157.837,5.9
2/10/2012,-17.968,-178.549,5.9
2/10/2012,-0.324,132.691,5.7
2/11/2012,-37.456,-73.884,5.6
2/11/2012,-0.978,126.853,5.5
2/13/2012,9.183,-84.121,5.9
2/13/2012,41.143,-123.79,5.6
2/14/2012,36.193,141.402,5.5
2/14/2012,36.214,141.386,5.8
2/14/2012,-10.39,161.102,6.4
2/15/2012,43.625,-127.518,5.8
2/16/2012,-17.839,65.405,5.8
2/20/2012,14.276,-92.779,5.6
2/23/2012,-17.699,-13.193,5.5
2/26/2012,22.661,120.891,5.9
2/26/2012,-24.477,-177.5,5.5
2/26/2012,-24.495,-177.238,6
2/26/2012,-32.495,-177.73,5.6
2/26/2012,51.708,95.991,6.7
2/28/2012,28.2,139.391,5.6
2/29/2012,35.2,141.001,5.6
3/3/2012,-22.141,170.34,6.6
3/4/2012,2.687,-84.34,5.5
3/4/2012,-21.529,169.769,5.7
3/5/2012,-28.246,-63.294,6.1
3/5/2012,12.354,123.7,5.6
3/7/2012,-2.814,138.888,5.6
3/8/2012,39.383,81.307,5.9
3/9/2012,-19.125,169.613,6.7
3/10/2012,55.146,-157.567,5.5
3/12/2012,36.741,73.152,5.6
3/12/2012,45.239,147.609,5.5
3/13/2012,14.959,-93.026,5.5
3/14/2012,40.887,144.944,6.9
3/14/2012,40.781,144.761,6.1
3/14/2012,40.755,144.806,5.6
3/14/2012,35.687,140.695,6
3/14/2012,-5.595,151.042,6.2
3/15/2012,35.802,139.279,5.5
3/16/2012,10.037,125.633,5.8
3/17/2012,3.823,63.404,5.5
3/17/2012,-34.905,-107.644,5.8
3/19/2012,-14.621,-175.702,5.9
3/20/2012,-3.812,140.266,6.1
3/20/2012,16.493,-98.231,7.4
3/21/2012,-6.242,145.955,6.6
3/24/2012,-54.367,-136.157,5.5
3/25/2012,-54.576,-135.923,5.7
3/25/2012,-35.2,-72.217,7.1
3/26/2012,-30.04,60.653,5.6
3/26/2012,9.995,-104.228,5.5
3/26/2012,10.071,-104.16,6
3/27/2012,39.859,142.017,6.1
3/28/2012,-57.331,-140.014,5.5
2/11/2013,-11.046,166.8,5.7
2/11/2013,-11.004,165.569,5.7
2/12/2013,-10.898,164.255,5.5
2/13/2013,-2.975,130.205,5.6
2/14/2013,67.631,142.508,6.6
2/15/2013,-19.731,-174.465,5.7
2/16/2013,5.812,125.748,6.1
2/16/2013,-36.514,177.933,5.8
2/17/2013,-10.841,165.673,5.5
2/17/2013,-10.808,165.555,5.7
2/18/2013,5.541,-32.96,5.5
2/18/2013,-30.774,-178.123,5.9
2/18/2013,-30.744,-178.148,5.5
2/19/2013,-17.46,-173.451,5.7
2/20/2013,-10.781,166.902,5.6
2/20/2013,18.552,-103.714,5.6
2/22/2013,-27.932,-63.097,6.1
2/23/2013,-10.66,165.304,5.9
2/23/2013,-8.467,127.467,5.9
2/23/2013,-11.689,165.023,5.6
2/24/2013,-32.339,-178.051,5.5
2/25/2013,36.844,139.245,5.8
2/26/2013,-21.503,-179.388,5.7
2/28/2013,-17.721,167.338,5.9
2/28/2013,50.954,157.283,6.9
2/28/2013,-10.892,165.921,5.8
3/1/2013,50.895,157.453,6.4
3/1/2013,50.958,157.408,6.5
3/3/2013,-7.189,145.901,5.6
3/5/2013,-5.214,152.559,5.8
3/6/2013,-22.396,171.055,5.5
3/7/2013,24.31,121.49,5.5
3/7/2013,-18.97,169.377,5.5
3/9/2013,50.892,157.218,5.8
3/10/2013,12.811,-90.64,5.5
3/10/2013,-5.299,151.519,5.7
3/10/2013,-6.598,148.174,6.5
3/11/2013,-6.662,148.455,5.5
3/11/2013,-11.531,165.186,5.5
3/13/2013,-8.798,-131.921,5.5
3/13/2013,60.233,163.4,5.8
3/15/2013,0.863,-85.229,5.5
3/19/2013,-58.892,-24.331,5.9
3/22/2013,-28.044,-176.568,5.5
3/24/2013,50.731,160.159,5.9
3/24/2013,-20.757,173.37,6.1
3/25/2013,14.487,-90.463,6.2
3/26/2013,16.184,-98.152,5.5
3/26/2013,-9.353,120.278,5.5
3/27/2013,23.828,121.215,5.9
3/28/2013,-23.538,-175.427,5.5
3/28/2013,-28.069,-176.665,5.6
3/30/2013,10.032,126.247,5.5
3/31/2013,-65.552,-177.804,5.6
2/22/2014,-60.2444,-47.2746,5.5
2/24/2014,4.1306,62.8765,5.6
2/24/2014,4.1326,62.6332,5.6
2/24/2014,4.0592,62.5996,5.5
2/24/2014,4.2246,62.5227,5.5
2/26/2014,53.6047,-171.821,6.1
3/2/2014,12.5559,-87.6879,6.2
3/2/2014,-6.2859,154.8444,5.8
3/2/2014,27.4312,127.3674,6.5
3/2/2014,14.1833,-93.1535,6
3/4/2014,-33.6046,-71.957,5.7
3/5/2014,-14.7378,169.8234,6.3
3/5/2014,-14.7947,167.2548,5.6
3/5/2014,-5.7523,154.1211,5.6
3/7/2014,-28.152,-176.6437,5.7
3/9/2014,1.6575,-79.3537,5.6
3/10/2014,16.0414,-98.3358,5.8
3/10/2014,40.8287,-125.1338,6.8
3/10/2014,-5.4804,147.9554,5.9
3/11/2014,-60.8623,-19.9775,6.4
3/11/2014,-3.0856,148.5531,6.1
3/12/2014,-23.5928,-175.0857,5.6
3/13/2014,33.6842,131.8249,6.3
3/13/2014,41.9039,-126.8982,5.5
3/14/2014,7.7631,94.3128,5.5
3/14/2014,-53.5105,25.2378,5.5
3/15/2014,-14.0848,-76.3113,6.1
3/15/2014,-5.5745,-80.9709,6.3
3/16/2014,-19.9807,-70.7022,6.7
3/17/2014,-20.0168,-70.8837,6.4
3/17/2014,-53.1677,-32.3157,5.8
3/18/2014,-19.9262,-70.7961,5.8
3/19/2014,-5.298,152.9064,5.8
3/19/2014,24.109,122.2613,5.8
3/19/2014,-27.8839,-177.1289,5.8
3/19/2014,-60.731,-25.3287,5.5
3/20/2014,-5.251,152.7899,5.6
3/20/2014,-5.1882,152.8343,5.8
3/21/2014,7.7448,94.3342,6.4
3/21/2014,7.5417,94.2698,5.5
3/22/2014,-19.7625,-70.874,6.2
3/22/2014,-19.7163,-70.9515,5.6
3/23/2014,-20.6741,-178.8113,5.9
3/23/2014,-19.6899,-70.8538,6.3
3/24/2014,-19.8239,-70.7651,5.7
3/24/2014,-19.8288,-70.8824,5.6
3/24/2014,-19.5932,-70.8207,5.7
3/26/2014,-26.1692,179.2877,6.3
3/26/2014,28.19,131.5108,5.5
3/27/2014,-12.0989,166.5894,6
3/27/2014,-29.1646,-68.7459,5.7
3/28/2014,11.6487,-86.5532,5.6
3/28/2014,-17.0544,-176.7788,5.5
3/29/2014,-0.848,-21.9196,5.9
3/31/2014,-19.511,-69.174,5.6
3/31/2014,-8.3029,146.9838,5.6
